Date,Location
02/02/2015(37.7608228396674, -122.436115302042)
02/02/2015(37.7608228396674, -122.436115302042)
02/02/2015(37.7980037233355, -122.398447802857)
02/02/2015(37.7763160310327, -122.420354123985)
02/02/2015(37.7556332979322, -122.415473931513)
02/02/2015(37.775420706711, -122.403404791479)
02/02/2015(37.7175680840626, -122.408369554921)
02/02/2015(37.7175680840626, -122.408369554921)
02/02/2015(37.7175680840626, -122.408369554921)
01/29/2015(37.7307215215703, -122.375605171962)
02/02/2015(37.7294874636559, -122.376900658814)
02/02/2015(37.7830791191471, -122.393622739343)
02/02/2015(37.7948030325182, -122.40021603879)
02/02/2015(37.8021201877107, -122.425559149319)
02/02/2015(37.7999146218467, -122.439505191354)
02/02/2015(37.7391936403273, -122.499134239027)
02/02/2015(37.7940590485562, -122.395097774181)
02/02/2015(37.7950135264428, -122.40033450691)
02/02/2015(37.8084350175869, -122.410774214375)
02/02/2015(37.7206846544979, -122.445190766272)
02/02/2015(37.7865686524807, -122.452608514061)
02/02/2015(37.7980532528058, -122.396374439116)
02/02/2015(37.7910166130682, -122.399152260199)
02/02/2015(37.7846480308387, -122.399899436982)
01/30/2015(37.7736797642734, -122.42747295585)
01/30/2015(37.7736797642734, -122.42747295585)
02/02/2015(37.7609899089142, -122.412056242405)
02/02/2015(37.764228935718, -122.419520367886)
02/02/2015(37.764228935718, -122.419520367886)
02/02/2015(37.764228935718, -122.419520367886)
02/02/2015(37.7390301515332, -122.403143544447)
02/02/2015(37.7390301515332, -122.403143544447)
02/02/2015(37.7390301515332, -122.403143544447)
02/02/2015(37.7390301515332, -122.403143544447)
02/02/2015(37.7842973843312, -122.410157073911)
02/02/2015(37.7119336857601, -122.418766889013)
02/02/2015(37.781526271747, -122.40950430935)
02/02/2015(37.7888379056123, -122.389432577161)
02/02/2015(37.739566960911, -122.406979507963)
02/02/2015(37.739566960911, -122.406979507963)
02/02/2015(37.739566960911, -122.406979507963)
02/02/2015(37.7959753126673, -122.414668598777)
02/02/2015(37.7979906413415, -122.432231936901)
02/02/2015(37.7979906413415, -122.432231936901)
02/02/2015(37.8035408565775, -122.414878527767)
02/02/2015(37.7353538209895, -122.380382266471)
02/02/2015(37.7353538209895, -122.380382266471)
02/02/2015(37.7863580362743, -122.419834938618)
02/02/2015(37.775420706711, -122.403404791479)
02/02/2015(37.7311764618482, -122.38160966743)
02/02/2015(37.7173614845378, -122.435013421625)
02/02/2015(37.7820387146172, -122.40232147638)
02/02/2015(37.7980532528058, -122.396374439116)
02/02/2015(37.7980587205991, -122.406842913454)
02/02/2015(37.7980587205991, -122.406842913454)
02/02/2015(37.7980587205991, -122.406842913454)
02/03/2015(37.7467755179049, -122.419123525573)
01/19/2015(37.7899200014841, -122.422062730264)
02/02/2015(37.7807642254398, -122.412320907436)
02/02/2015(37.7807642254398, -122.412320907436)
02/02/2015(37.7866889256218, -122.393618881148)
02/02/2015(37.7866889256218, -122.393618881148)
02/02/2015(37.7866889256218, -122.393618881148)
02/01/2015(37.72085578178, -122.431204527214)
02/01/2015(37.72085578178, -122.431204527214)
01/29/2015(37.7644035310365, -122.431296479048)
01/15/2014(37.7423752245255, -122.421970919029)
02/03/2015(37.7828276498838, -122.409708423721)
02/03/2015(37.7777992290419, -122.400302421513)
02/03/2015(37.7697208630457, -122.417949217834)
02/03/2015(37.7978641744394, -122.406669739951)
02/03/2015(37.7857429288295, -122.409660417788)
02/03/2015(37.7857429288295, -122.409660417788)
02/03/2015(37.7857429288295, -122.409660417788)
02/03/2015(37.7634292328496, -122.419515708406)
02/03/2015(37.7634292328496, -122.419515708406)
02/02/2015(37.7958763223097, -122.400488130754)
02/03/2015(37.7872812876351, -122.396409322733)
02/02/2015(37.7838066631424, -122.409129633669)
11/12/2016(37.80796947292687, -122.41400317832917)
02/03/2015(37.789434763004, -122.406958660602)
02/02/2015(37.7865647607685, -122.407244087032)
01/05/2015(37.766799959982, -122.428951613741)
02/03/2015(37.7564864109309, -122.406539115148)
02/03/2015(37.7649050761616, -122.423001696251)
02/27/2014(37.7748707258015, -122.446285631005)
02/03/2015(37.7649050761616, -122.423001696251)
02/03/2015(37.7649050761616, -122.423001696251)
02/03/2015(37.788239899778, -122.409256096494)
02/03/2015(37.7649357189679, -122.431957685196)
02/03/2015(37.7453901680777, -122.420021755228)
02/03/2015(37.7453901680777, -122.420021755228)
02/03/2015(37.7855609320034, -122.429792899837)
02/02/2015(37.7806600950548, -122.42291369529)
02/03/2015(37.7826435280939, -122.443597047511)
02/02/2015(37.7810888153345, -122.402246029097)
02/03/2015(37.7838424505847, -122.432743822617)
02/03/2015(37.7838424505847, -122.432743822617)
02/03/2015(37.7838424505847, -122.432743822617)
02/03/2015(37.7740948566882, -122.420001436964)
02/03/2015(37.7740948566882, -122.420001436964)
02/03/2015(37.7693967099165, -122.451288061231)
02/03/2015(37.7693967099165, -122.451288061231)
02/03/2015(37.7693967099165, -122.451288061231)
02/03/2015(37.775420706711, -122.403404791479)
02/03/2015(37.7357419068572, -122.37934537972)
01/03/2015(37.7925509103928, -122.412653223062)
02/03/2015(37.7650501214668, -122.419671780296)
02/02/2015(37.7454986548372, -122.394559471382)
02/03/2015(37.7356506398948, -122.448307079193)
01/27/2015(37.7426415388733, -122.429929998455)
02/02/2015(37.7244624051911, -122.405571757226)
02/02/2015(37.7592223045204, -122.395164170538)
02/02/2015(37.7986966918738, -122.429929539463)
02/03/2015(37.775420706711, -122.403404791479)
02/03/2015(37.775420706711, -122.403404791479)
02/03/2015(37.775420706711, -122.403404791479)
02/03/2015(37.7751633529763, -122.413473331312)
02/03/2015(37.7751633529763, -122.413473331312)
01/30/2015(37.7695046066162, -122.451314447797)
02/03/2015(37.775420706711, -122.403404791479)
02/01/2015(37.7545081025069, -122.407449511511)
02/02/2015(37.7303399205254, -122.432385162578)
02/01/2015(37.76667346471, -122.418915450725)
02/02/2015(37.7691750639058, -122.404026293246)
02/02/2015(37.7691750639058, -122.404026293246)
02/03/2015(37.7700970411704, -122.453728603068)
01/30/2015(37.7771638194542, -122.443324444777)
02/02/2015(37.783465567448, -122.416732163096)
